Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Bikes
5,-7.4,33,2.6,2000,-20.9,0,0,0,1,1,82
9,10.1,72,1.1,728,5.2,0.9,0,0,4,1,1151
1,-3.4,76,2.9,582,-7,0,0,0,1,1,302
16,16.8,46,1.8,1041,5,0.72,0,0,4,1,1318
11,23.4,61,2.1,1964,15.4,0.91,0,0,4,1,1014
17,11.2,27,3.5,1585,-7.1,1.19,0,0,2,1,1108
5,14.4,82,1.2,708,11.3,0,0,0,2,1,265
19,-0.1,88,3.2,582,-1.8,0,0,1,1,1,167
17,21.9,97,3.2,207,21.3,0.14,0.5,0,2,1,304
15,35.9,37,1.9,1949,18.9,1.98,0,0,3,1,713
7,1.5,86,1.1,189,-0.5,0,0,0,1,1,279
5,2.2,79,0.8,553,-1,0,0,0,2,1,95
6,13.2,73,1.1,1900,8.4,0,0,0,4,1,0
14,26.8,44,1.6,760,13.5,2.01,0,0,3,1,1709
12,19.5,40,1.1,1055,5.5,2.89,0,0,2,1,1142
4,5.1,90,2.6,1005,3.5,0,0,0,2,1,4
5,16.9,73,1.6,1275,12,0,0,0,2,1,163
14,24.6,34,1.5,2000,7.6,2.74,0,0,4,1,1305
15,29.1,38,1.7,1602,13.3,1.89,0,0,2,1,1210
0,31,54,0.8,2000,20.5,0,0,0,3,1,901
19,16.6,96,2.4,1072,15.9,0,1.5,0,4,1,55
4,13.8,98,2.9,27,13.4,0,0,0,2,1,83
21,4,67,3,794,-1.5,0,0,0,2,1,447
8,-12.6,61,1.6,1610,-18.5,0,0,0,1,1,443
11,10.9,95,2.4,519,10.1,0.12,0,0,4,1,25
12,10,39,2,2000,-3.3,2.2,0,0,4,1,907
8,15.3,30,1.3,2000,-2.2,1.3,0,0,2,1,1785
6,26.7,89,0.6,615,24.7,0,0,0,3,1,594
6,1.1,78,1.1,538,-2.3,0,0,0,2,1,74
2,6.9,87,0.7,822,4.8,0,0,0,4,1,129
22,25.1,73,2.5,1808,19.9,0,0,0,3,1,2091
20,12.2,47,1.1,2000,1.2,0,0,0,4,1,1558
2,15.7,53,1.4,2000,6.1,0,0,0,4,1,326
6,17,63,1.3,2000,9.8,0,0,0,4,1,656
4,2.8,52,0.6,1249,-6.1,0,0,0,2,1,47
3,17.8,60,0.2,2000,9.9,0,0,0,4,1,504
14,21.2,47,3.7,1142,9.4,3.22,0,0,2,1,0
19,13.2,28,2.9,2000,-4.9,0.22,0,0,2,1,0
5,15.7,0,0.6,1610,10.6,0,0,0,2,1,182
3,-15.9,34,2.9,2000,-28.2,0,0,0.5,1,1,41
0,13.7,51,1.3,1651,3.7,0,0,0,2,1,778
7,1.9,51,4.9,1297,-7.1,0.07,0,0,2,1,206
14,30.1,35,1.4,1583,12.9,2.53,0,0,3,1,1744
11,33.4,52,2.8,1462,22.1,2.19,0,0,3,1,655
11,8.7,41,2.6,1907,-3.8,1.96,0,0,4,1,818
11,20.3,52,0.9,468,10.1,1.96,0,0,2,1,901
8,20.5,90,1.9,490,18.7,0.53,0,0,4,1,2059
6,24.2,96,1.6,1206,23.5,0,0,0,3,1,285
5,13.2,73,0.9,1857,8.4,0,0,0,4,1,0
17,22,49,3.7,1582,10.7,1.28,0,0,2,1,1569
2,9.5,87,1,919,7.4,0,0,0,4,1,371
9,21,67,1.1,1012,14.6,0.54,0,0,2,1,1192
22,26,45,1.7,2000,13.1,0,0,0,3,1,1787
6,-6.6,35,1.3,2000,-19.5,0,0,0,1,1,181
8,10.3,86,2.5,2000,8,0.15,0,0,2,1,1284
4,27,74,0.8,1816,21.9,0,0,0,3,1,245
2,-1.7,66,0.8,1631,-7.2,0,0,0,1,1,80
11,-5,25,3.2,1853,-22,1.75,0,0,1,1,155
17,23.2,12,3.6,2000,-7.8,1.69,0,0,2,1,2032
1,20.5,64,0.4,2000,13.4,0,0,0,4,1,0
12,20.8,50,2,1240,9.9,1.82,0,0,2,1,818
7,7,86,1.1,455,4.8,0,0,0,4,1,1115
8,27.9,60,0.6,1835,19.4,1.06,0,0,3,1,477
8,8.1,85,1.2,772,5.7,0.26,0,0,4,1,2108
10,-3,71,0.7,608,-7.5,0.67,0,2.1,1,1,169
1,4,83,1.7,235,1.3,0,0,0,1,1,263
16,27.3,38,2.9,1784,11.7,2.41,0,0,2,1,1550
9,18.3,67,2.4,1375,12,0.55,0,0,2,1,867
11,4.8,41,0.8,792,-7.3,0.53,0,0,1,1,342
5,-5.3,81,0.9,923,-8,0,0,0.8,1,1,27
8,-0.4,78,0.5,249,-3.7,0,0,0,1,1,162
6,10.5,70,1,2000,5.2,0.03,0,0,2,1,234
23,12.1,58,1.9,1719,4,0,0,0,2,1,851
14,5.4,18,1.2,1923,-17,0.96,0,0,1,1,340
14,12.7,95,1.9,255,11.9,0.09,5.5,0,4,1,147
16,32,51,2.4,1402,20.5,2.55,0,0,3,1,1062
17,36.4,39,1.2,2000,20.2,1.15,0,0,3,1,1495
1,31.7,68,0.3,1103,25,0,0,0,3,1,675
16,5,50,4.3,1121,-4.5,0.74,0,0,1,1,404
22,29.9,60,1.3,2000,21.2,0,0,0,3,1,1635
17,16.9,97,2.1,728,16.4,0.08,5.5,0,4,1,66
5,28.6,73,0.8,1808,23.2,0,0,0,3,1,227
15,26.4,76,3.7,1370,21.8,1.01,0,0,3,1,1209
16,5.6,42,4.2,2000,-6.3,0.81,0,0,2,1,518
19,32,68,3,1286,25.3,0.38,0,0,3,1,1657
2,7.7,60,0.3,1993,0.4,0,0,0,2,1,306
2,13.9,43,0.9,2000,1.5,0,0,0,2,1,473
15,15.3,32,2.9,458,-1.3,2.02,0,0,2,1,694
13,0.8,46,1.4,1598,-9.5,0.8,0,0,1,1,301
12,10.4,41,4.9,1966,-2.3,1.33,0,0,4,1,1076
15,5.5,31,3.1,1968,-10.3,0.72,0,0,1,1,412
23,5.8,34,2.6,763,-8.8,0,0,0,4,1,593
13,31.6,46,2.7,1864,18.5,1.77,0,0,3,1,847
19,8,42,2.9,2000,-4.1,0,0,0,4,1,864
10,16.6,67,0.9,479,10.4,1.23,0,0,2,1,779
18,16.8,60,3.1,580,8.9,0.46,0,0,2,1,1521
15,37.4,44,3.2,1499,23,2.71,0,0,3,1,600
8,20.6,77,1.2,566,16.4,0.53,0,0,3,1,2440
2,19,56,0.9,2000,10,0,0,0,4,1,462
0,-1.1,39,1.7,1832,-13.3,0,0,0,1,1,148
2,-7.3,57,2,1978,-14.3,0,0,0,1,1,123
18,4.1,40,2.1,1327,-8.3,0.1,0,0,1,1,659
4,1.6,92,0.7,119,0.4,0,0,0.9,1,1,62
12,-0.3,45,2.2,1066,-10.8,1.01,0,0,1,1,362
17,17.6,45,4.2,1947,5.5,0.7,0,0,2,1,1221
21,14.2,70,0.8,723,8.7,0,0,0,2,1,1035
16,21.4,35,2.7,1838,5.2,2.38,0,0,2,1,1603
9,24.2,47,1.2,822,12.1,1.94,0,0,3,1,1284
5,30.5,72,0.5,1084,24.8,0,0,0,3,1,266
20,13.3,80,1.8,821,9.9,0,1.5,0,2,1,12
3,19.9,69,1.4,1179,14,0,0,0,3,1,369
12,30.3,30,1.9,1981,10.7,3.17,0,0,3,1,904
10,30.4,63,1.8,1883,22.5,1.32,0,0,3,1,649
14,27.9,47,3.2,1869,15.5,1.65,0,0,4,1,1032
17,10,43,4.9,2000,-2,0.43,0,0,4,1,1274
12,20.7,83,0.6,1244,17.7,0.32,0,0,3,1,71
5,2.1,94,0.4,248,1.2,0,0,2.5,4,1,88
1,-6.3,57,0.4,1148,-13.4,0,0,0,1,1,241
22,1.1,40,0.5,1305,-11,0,0,0,1,1,214
2,-1.8,53,4.1,1825,-10.1,0,0,0,1,1,115
4,-5.8,48,1.5,1552,-15,0,0,0,2,1,47
23,-0.5,59,0.9,1487,-7.5,0,0,0,1,1,236
15,21.8,28,2.3,1162,2.4,2.4,0,0,2,1,1068
4,6.7,87,1.2,580,4.6,0,0,0,4,1,97
15,1.6,35,4.5,1567,-12.2,2.54,0,0,2,1,458
16,33.5,52,2.2,1804,22.2,0.91,0,0,3,1,901
5,24,97,0.9,1347,23.4,0,0.5,0,3,1,73
19,31.2,52,2.4,1990,20.1,0.57,0,0,3,1,2368
9,-1.5,47,4.2,1888,-11.3,0.22,0,0,1,1,509
14,13.7,50,3.7,1218,3.4,2.3,0,0,2,1,1083
4,-9.5,49,4.3,2000,-18.2,0,0,1,1,1,45
11,26.4,71,1,430,20.7,1.36,0,0,3,1,871
10,-6.2,42,2.3,1893,-17,0.52,0,0,1,1,201
0,25.1,87,0.4,1800,22.7,0,0,0,3,1,1006
0,20.7,51,1.7,2000,10.1,0,0,0,3,1,1208
22,4.3,89,1.8,201,2.6,0,0,0,1,1,350
14,20,48,2.1,586,8.6,1.72,0,0,4,1,1121
8,6.9,54,0.7,1706,-1.7,0.85,0,0,2,1,1713
13,26.2,53,2.1,2000,15.8,2.23,0,0,3,1,1210
20,23.1,67,2.1,1060,16.6,0.03,0,0,3,1,2429
17,5.8,38,1.3,1674,-7.4,0.01,0,0,4,1,996
2,26.3,65,0.3,2000,19.1,0,0,0,3,1,352
23,12.4,58,2.5,1843,4.3,0,0,0,2,1,935
20,9.4,76,2.6,1376,5.3,0,0,0,2,1,640
20,30.2,66,2.8,2000,23.1,0.02,0,0,3,1,1387
5,9.1,34,0.9,2000,-5.9,0,0,0,2,1,156
7,14.1,69,1.1,1692,8.4,0,0,0,2,1,786
17,8.7,48,1.7,965,-1.7,0.25,0,0,4,1,1233
20,22.4,64,0.8,2000,15.2,0,0,0,3,1,1674
7,-4.6,46,2.8,2000,-14.4,0,0,0,1,1,61
8,19,65,2,2000,12.2,0.28,0,0,3,1,619
18,-3.8,58,1.7,1996,-10.8,0.01,0,0,1,1,558
13,3.3,87,1.1,230,1.3,0.54,0,2.1,1,1,182
10,29.3,49,2,1875,17.4,1.65,0,0,3,1,719
10,6.3,39,2.8,2000,-6.6,1.55,0,0,2,1,494
3,10.2,80,0.3,1191,6.8,0,0,0,4,1,239
22,22.8,69,1.7,1656,16.8,0,0,0,3,1,1995
18,26,39,2.7,1950,10.9,1.07,0,0,2,1,3245
9,16.6,70,1.5,945,11,0.3,0,0,2,1,806
15,37.4,38,1.4,2000,20.6,1.72,0,0,3,1,761
9,5.2,55,1.4,1752,-3.1,0.67,0,0,4,1,931
16,29,31,2.9,889,10.1,2.26,0,0,2,1,1690
5,17.8,75,1,1210,13.3,0,0,0,3,1,306
11,15.2,44,1.2,1301,3,2.16,0,0,4,1,1179
11,5.1,21,3.2,1965,-15.4,1.63,0,0,4,1,644
18,29.3,27,3.4,1977,8.3,1.24,0,0,3,1,3365
11,13,70,5,989,7.6,0.5,0,0,4,1,81
18,1.1,18,2.5,2000,-20.6,0.2,0,0,1,1,190
16,10.7,98,1.2,196,10.3,0.14,0,0,2,1,214
2,11.2,58,1.4,1255,3.2,0,0,0,2,1,361
13,25.6,26,2.7,1747,4.6,3.36,0,0,2,1,1106
22,9.6,90,1.9,2000,8,0,0,0,2,1,164
23,-11.8,46,1.1,1860,-21.1,0,0,0,1,1,106
7,29.3,58,0.8,2000,20.1,0.23,0,0,3,1,1241
15,-6.4,30,4.9,1939,-21.1,1.89,0,0,1,1,190
2,-2.9,66,3.3,1515,-8.3,0,0,1,1,1,75
18,20.3,47,2.5,705,8.6,0.77,0,0,2,1,2577
14,30.7,59,2.9,1612,21.7,2.05,0,0,3,1,1038
23,21.3,80,2.6,1203,17.7,0,0,0,4,1,571
8,2,84,1.1,396,-0.4,0.03,0,0.3,4,1,1524
7,15.1,97,0.5,311,14.6,0.03,2.5,0,2,1,16
12,20.3,34,2.6,2000,3.9,2.85,0,0,4,1,754
9,25.7,76,0.8,1920,21.1,1.11,0,0,3,1,1156
10,26.3,34,0.9,1792,9.1,2.57,0,0,3,1,902
20,33.9,46,1.4,2000,20.6,0.03,0,0,3,1,1947
22,-0.9,83,1.5,1380,-3.4,0,0,0,1,1,398
5,13.9,60,0.6,2000,6.2,0,0,0,4,1,207
21,31.3,59,0.3,2000,22.3,0,0,0,3,1,1684
5,5,83,0.7,200,2.3,0,0,0,2,1,60
13,29.7,80,1.7,1312,25.8,0.73,0.4,0,3,1,628
19,25.7,59,2.8,1083,17,0.38,0,0,3,1,2288
15,5.2,30,2,1963,-11,0.84,0,0,1,1,569
8,-9.1,33,2.1,1998,-22.4,0.03,0,0,1,1,517
15,11.9,18,3.3,1848,-11.7,1.32,0,0,4,1,861
18,-2.6,73,1,684,-6.7,0.01,0,0,1,1,223
18,-2.3,91,0.4,202,-3.5,0,1.4,2,1,1,100
12,28.3,30,3,1675,9,3.29,0,0,3,1,1253
4,10.2,65,1.5,970,3.9,0,0,0,2,1,140
2,2.5,29,1.8,2000,-13.7,0,0,0,4,1,335
15,10.1,24,1.8,1839,-9.6,2.12,0,0,2,1,616
17,27.2,35,1.7,2000,10.3,1.32,0,0,4,1,2167
13,20.5,97,1.2,338,20,0.11,14.5,0,3,1,24
20,22.4,62,2.2,1041,14.7,0.05,0,0,3,1,2525
11,6.1,66,1.9,2000,0.2,1.42,0,0,2,1,322
19,26.5,69,2.3,2000,20.3,0.18,0,0,3,1,2372
13,21,36,1,1164,5.3,2.99,0,0,2,1,1133
20,5.4,43,2.7,1913,-6.2,0,0,0,4,1,644
6,11.4,84,0.3,1742,8.7,0,0,0,4,1,278
5,-3.9,66,0.7,1209,-9.3,0,0,2.6,1,1,55
1,18.9,77,0.7,1987,14.7,0,0,0,3,1,1088
9,20.4,54,1.5,2000,10.7,1.88,0,0,3,1,1144
18,11.8,43,1.3,1995,-0.3,0.03,0,0,4,1,2254
7,6.9,81,0.8,665,3.8,0.01,0,0,4,1,304
20,32.3,48,1.4,2000,19.8,0.08,0,0,3,1,1697
4,12.1,69,0.3,827,6.5,0,0,0,2,1,147
22,22.8,70,1,2000,17,0,0,0,4,1,1713
11,22.9,54,2.6,1959,13,2.56,0,0,3,1,1092
8,18.2,86,0,858,15.8,0.48,0,0,4,1,654
6,18.9,83,0.3,576,15.9,0.05,0,0,3,1,324
9,8.6,66,1.7,881,2.5,1.16,0,0,2,1,513
12,18.4,28,1.9,1690,-0.4,2.33,0,0,4,1,1417
18,5.4,58,0.2,2000,-2.2,0,0,0,4,1,1679
7,4.1,75,0.8,1143,0,0,0,0,4,1,1024
12,-1.3,17,1.5,1998,-23.2,2.28,0,0,1,1,183
16,8.1,96,1.5,281,7.4,0.21,1,0,2,1,31
16,11.3,21,2.8,1925,-10.2,0.82,0,0,4,1,967
12,18,53,3.1,1350,8.2,1.53,0,0,2,1,926
16,28.2,48,3.9,1103,16.1,2.55,0,0,3,1,1600
0,6.2,63,0.8,1611,-0.3,0,0,0,4,1,587
12,6.9,30,1.8,1994,-9.5,0.85,0,0,2,1,709
2,22.3,37,1.8,2000,6.8,0,0,0,3,1,818
6,10.1,71,0.2,1474,5,0,0,0,4,1,491
22,-12.9,52,2.8,2000,-20.7,0,0,0,1,1,172
15,33.6,58,3.6,1448,24.1,1.98,0,0,3,1,646
20,-2.2,49,3.5,1325,-11.4,0,0,0,2,1,246
16,19.5,80,1.2,553,15.9,0.53,0.4,0,2,1,86
21,21.7,63,1.8,1078,14.3,0,0.1,0,4,1,0
3,3.5,38,1.6,907,-9.5,0,0,0,4,1,167
14,9.8,38,0.9,1908,-3.8,0.93,0,0,2,1,505
23,-14.9,35,2.8,2000,-26.9,0,0,0.5,1,1,79
9,17.7,27,1.3,2000,-1.5,2.02,0,0,2,1,1118
23,11.7,70,1.7,2000,6.4,0,0,0,4,1,1018
22,8.8,77,3.2,1258,4.9,0,0,0,2,1,586
19,14.7,40,2.4,1207,1.2,0.21,0,0,2,1,842
9,-5.3,48,2.6,1810,-14.6,0.18,0,2.5,1,1,199
8,16.7,60,2,2000,8.8,0.2,0,0,4,1,598
0,3,72,2.3,473,-1.5,0,0,0,2,1,272
11,26.4,47,2.9,2000,14.1,2.38,0,0,4,1,937
10,0,29,1.3,1592,-15.9,0.52,0,0,1,1,255
17,-3.1,36,4.4,1988,-16,0.89,0,0,1,1,288
6,19.5,95,1.4,179,18.6,0,1.5,0,3,1,100
11,33.2,46,1.4,1968,20,2.16,0,0,3,1,623
9,18.2,96,1.3,1251,17.5,0.21,1,0,4,1,47
13,-3.8,32,0.9,1827,-18.1,0.52,0,0,1,1,282
16,1.8,76,0.8,410,-1.9,0.47,0,2.7,1,1,181
6,18.4,95,0.1,752,17.5,0,0,0,4,1,215
23,11,74,0.1,1817,6.5,0,0,0,4,1,884
23,11.7,58,0,1567,3.6,0,0,0,4,1,922
18,37.8,47,3.8,1931,24.5,1.09,0,0,3,1,1929
10,-4.1,43,1.2,1187,-14.8,0.59,0,0,1,1,187
18,2.8,25,3,2000,-15.3,0.22,0,0,1,1,310
23,-4.4,81,0.7,420,-7.1,0,0,0,1,1,131
17,13.1,45,3.1,2000,1.4,0.62,0,0,4,1,1775
14,21.5,39,2.5,1691,6.9,2.56,0,0,4,1,0
22,13.4,49,1.1,1326,2.8,0,0,0,2,1,1054
23,9.7,56,0.7,2000,1.3,0,0,0,4,1,896
13,14.3,43,3.6,1995,1.8,1.86,0,0,4,1,1015
3,-5.6,56,1,1367,-13,0,0,0,1,1,103
14,22.8,39,2.6,1983,8.1,3.39,0,0,2,1,2128
14,17.6,39,2.5,1964,3.4,1.63,0,0,4,1,1150
11,21.3,56,1.5,1989,12.1,1.18,0,0,3,1,1074
2,-7.8,68,0.9,1642,-12.6,0,0,2,1,1,108
1,25.5,83,2.3,1576,22.3,0,0,0,3,1,868
21,18.7,84,2.7,1744,15.9,0,0,0,4,1,784
5,-0.9,78,0.6,1687,-4.2,0,0,0,2,1,80
23,24.8,60,1,795,16.5,0,0,0,2,1,848
21,12.1,67,1,1977,6.1,0,0,0,4,1,1464
15,7.4,38,1.7,817,-6,0.63,0,0,1,1,349
18,0.6,66,1.4,2000,-5,0,0,0,1,1,862
18,24.8,83,0.8,1947,21.7,0.26,0,0,3,1,2153
16,12,74,2.1,316,7.5,0.29,0,0,4,1,775
21,20.3,96,1,1007,19.6,0,1.5,0,3,1,95
17,-2.3,20,2.2,1994,-22.2,0.77,0,0,1,1,320
0,24.4,63,0.8,745,16.8,0,0,0,2,1,662
7,0.3,93,0.5,173,-0.7,0,0,0.9,1,1,367
12,33.9,45,1.4,1923,20.2,2.95,0,0,3,1,784
0,28.6,80,0.6,990,24.8,0,0,0,3,1,909
4,18.3,66,1.3,929,11.8,0,0,0,3,1,312
2,-8.3,65,0.4,1750,-13.7,0,0,0,1,1,103
3,20.6,97,0.2,500,20.1,0,0,0,4,1,223
5,6.2,89,1.5,338,4.5,0,0,0,2,1,27
4,22.6,95,0.4,1919,21.7,0,0,0,3,1,200
18,17.5,18,1.3,2000,-7.1,0.23,0,0,2,1,2404
12,36.8,39,1.3,1944,20.5,2.8,0,0,3,1,569
6,20.2,66,1,2000,13.6,0,0,0,4,1,249
17,11.2,30,1.5,2000,-5.7,1.44,0,0,2,1,1160
13,27.3,33,3.4,1921,9.6,3.42,0,0,3,1,1147
9,-4.6,40,3.5,2000,-16.1,0.18,0,0,1,1,107
18,11.3,42,1.2,1846,-1.1,0.01,0,0,4,1,2159
22,18.4,85,2.1,1772,15.8,0,0,0,4,1,1049
13,27.5,43,2,2000,13.7,3.41,0,0,3,1,1399
11,8,43,1.7,1909,-3.8,1.74,0,0,2,1,441
18,4.7,43,2.4,938,-6.8,0.19,0,0,1,1,819
16,6,28,1.7,1183,-11.1,1.03,0,0,1,1,319
4,1.3,87,2.2,937,-0.6,0,0,0,2,1,75
10,5.1,70,1.2,498,0,0.93,0,0,4,1,586
5,5,81,1.2,425,2,0,0,0,1,1,59
8,5,77,1.5,1115,1.2,0.07,0,0,4,1,1916
20,6,50,1.5,931,-3.6,0,0,0,4,1,1030
10,27.8,68,2.1,1490,21.3,1.29,0,0,3,1,910
3,24.4,85,0.6,678,21.7,0,0,0,3,1,393
10,6.4,71,1,385,1.5,0.37,0,0,4,1,616
13,15.6,38,4.7,1558,1.3,3.32,0,0,2,1,0
17,8,96,1.4,298,7.3,0.13,1,0,2,1,46
11,26.1,37,2.4,1079,10.2,2.79,0,0,3,1,1008
22,23.4,88,0.9,1153,21.2,0,0,0,3,1,1107
9,8.2,81,2.7,1273,5.1,0.2,0.5,0,2,1,387
19,32,76,2.1,692,27.2,0.1,1,0,3,1,1117
11,-0.3,40,3.4,1728,-12.2,1.73,0,0,1,1,252
11,12.6,49,1.4,988,2.1,0.84,0,0,2,1,571
12,9,96,1.9,481,8.3,0.43,5.5,0,2,1,10
12,18,26,2.2,1459,-1.8,3.03,0,0,2,1,1112
12,9.2,47,2.5,1910,-1.5,1.37,0,0,4,1,776
5,3,34,1.1,1032,-11.3,0,0,0,4,1,140
5,16.6,65,1.2,2000,9.9,0,0,0,3,1,277
6,8.8,77,0.2,1077,4.9,0,0,0,4,1,503
20,28.2,76,2.2,1888,23.5,0.08,0,0,3,1,2069
3,10.5,59,1,2000,2.8,0,0,0,2,1,187
2,20.9,96,0.4,970,20.2,0,0,0,4,1,324
22,10.3,42,1,1923,-2,0,0,0,2,1,0
14,-2.2,29,4.1,1983,-17.8,1.93,0,0,1,1,191
20,5.2,69,1.8,1196,0,0,0,0,2,1,447
17,2.5,48,4.2,1979,-7.4,0.76,0,0,1,1,210
13,7.4,27,1.8,2000,-10.4,0.86,0,0,2,1,847
4,24.5,97,1,317,23.9,0,0,0,3,1,71
7,8.9,67,0.8,1557,3,0,0,0,4,1,1244
5,16.3,61,1.5,2000,8.7,0,0,0,4,1,150
11,18.5,65,1.4,463,11.7,2.07,0,0,2,1,946
19,8.7,34,2.2,1857,-6.3,0,0,0,4,1,1317
2,-3,79,0,1862,-6.1,0,0,0.4,1,1,117
2,3.6,65,0.9,959,-2.3,0,0,0,1,1,74
22,31.6,66,3,2000,24.4,0,0,0,3,1,1613
14,24.1,42,1.2,1770,10.3,1.93,0,0,2,1,1970
3,8.1,71,0.9,378,3.1,0,0,0,2,1,127
22,27.2,69,1.7,2000,21,0,0,0,3,1,1934
9,16,34,1.3,2000,0.1,1,0,0,2,1,676
5,22.5,66,1.5,2000,15.8,0,0,0,3,1,311
23,25.9,52,1.3,2000,15.2,0,0,0,3,1,1342
6,-6.4,59,0.6,887,-13.1,0,0,0,1,1,42
20,1,89,1.9,407,-0.6,0,0,1,1,1,144
4,12.6,60,0.6,1648,5,0,0,0,4,1,185
20,6.7,48,2.6,774,-3.5,0,0,0,2,1,724
11,23.9,59,2.1,2000,15.3,1.08,0,0,3,1,1024
5,20.6,97,0.6,2000,20.1,0,0,0,3,1,174
9,-10.8,34,2.9,1975,-23.6,0.17,0,0,1,1,217
19,-5.6,39,1.1,2000,-17.3,0,0,0,1,1,157
7,6.3,65,1,2000,0.1,0.01,0,0,4,1,1233
19,-5.5,31,2.1,2000,-19.9,0,0,0,1,1,315
6,28.3,55,1.5,2000,18.3,0,0,0,3,1,492
8,-8.1,36,1.6,2000,-20.5,0.01,0,0,1,1,812
3,0.9,97,1.2,243,0.4,0,3.7,4.1,1,1,32
6,6.2,52,0.8,1609,-2.9,0,0,0,2,1,395
3,26.1,65,0.6,2000,18.9,0,0,0,3,1,255
8,15.4,52,2.2,1985,5.5,0.49,0,0,4,1,296
10,4.4,23,1.6,1201,-14.9,0.7,0,0,4,1,583
16,19.5,50,3.4,613,8.7,1.6,0,0,2,1,774
11,17.9,39,1.3,1873,3.7,2.06,0,0,4,1,1117
16,8.9,63,3,1614,2.2,0.28,0,0,2,1,271
16,25,97,0.7,1181,24.4,0.17,2.5,0,3,1,60
6,9,86,2,442,6.7,0,0,0,2,1,0
5,11.1,95,0.2,117,10.3,0,0,0,4,1,71
17,20.4,31,3.2,2000,2.6,1.06,0,0,4,1,0
11,0.1,27,2.2,1874,-16.7,0.84,0,0,1,1,169
2,11.8,84,1.6,1874,9.1,0,0,0,4,1,122
14,7.8,57,2.1,277,-0.2,1.39,0,0,1,1,312
7,-8.8,58,4,1942,-15.5,0,0,0.3,1,1,67
8,26.4,64,0.5,1909,19,1.33,0,0,3,1,2215
22,-3.9,41,0.4,1462,-15.2,0,0,0,1,1,233
7,14.9,71,0.9,651,9.6,0.47,0,0,2,1,1401
11,7.8,38,0.8,1369,-5.6,1.65,0,0,4,1,830
18,-0.6,37,1.6,1797,-13.5,0.01,0,0,1,1,271
0,17,51,1.5,2000,6.7,0,0,0,4,1,880
10,22.1,53,1.1,1999,12,2.28,0,0,3,1,971
21,-7.9,35,2.6,1878,-20.7,0,0,0,1,1,103
13,8.3,51,2,2000,-1.2,1.42,0,0,2,1,465
5,14.2,85,0.5,1412,11.7,0,0,0,2,1,170
15,16.1,30,1,1125,-1.5,1.06,0,0,4,1,971
0,-4.7,52,1.8,1611,-13,0,0,0,1,1,202
6,21.8,51,2,2000,11.2,0,0,0,3,1,719
5,15.1,89,1.1,1615,13.2,0,0,0,4,1,146
18,-1.8,35,2.1,2000,-15.2,0.05,0,1.6,1,1,403
16,19.1,31,2.1,1960,1.5,1.27,0,0,4,1,2097
15,15.9,30,0.7,1823,-1.6,1.34,0,0,4,1,1063
8,18.7,73,0.9,1501,13.7,0.34,0,0,4,1,0
10,-9.6,39,0.7,1580,-21,1.06,0,0,1,1,155
1,-5.3,48,0.4,1664,-14.6,0,0,0,1,1,97
7,22,49,1.7,2000,10.7,0.23,0,0,3,1,1271
17,28.8,47,2,1998,16.3,1,0,0,4,1,2069
10,9.5,46,3.7,1871,-1.5,1.49,0,0,4,1,898
6,3.1,89,0.2,903,1.4,0,1.5,0,2,1,32
14,1.4,41,2,1003,-10.4,0.99,0,0,1,1,343
13,22.5,40,2.6,1854,8.2,2.64,0,0,4,1,1849
15,37.5,33,2,1816,18.4,2.32,0,0,3,1,632
16,36.7,44,3.5,1666,22.4,2.16,0,0,3,1,763
8,-12.3,52,1.3,1914,-20.1,0,0,0,1,1,580
23,12.6,16,1.7,2000,-12.6,0,0,0,2,1,772
17,13.7,38,2.6,436,-0.3,1,0,0,2,1,931
10,12.2,73,1.9,374,7.4,0.92,0,0,4,1,699
4,-4,79,1.2,453,-7.1,0,0,0,1,1,48
19,9.8,45,1.3,1882,-1.5,0,0,0,4,1,1529
20,0.2,61,1.9,1956,-6.4,0,0,0,1,1,150
10,-5.3,32,4.5,2000,-19.4,0.62,0,0,1,1,212
18,3,84,1.7,137,0.5,0,0.3,0,1,1,45
13,-2.4,28,3,1953,-18.4,2.35,0,0,1,1,212
12,5.4,37,0.7,815,-8.1,0.43,0,0,1,1,353
9,29.9,69,1.5,769,23.5,1.12,0,0,3,1,934
8,-7.8,65,1.1,1738,-13.2,0,0,2,1,1,466
2,9.2,72,1.5,2000,4.4,0,0,0,4,1,433
23,16.3,91,1.8,1811,14.8,0,0.5,0,4,1,4
21,20.5,97,1.1,726,20,0,4,0,2,1,18
3,0.6,42,1.1,2000,-10.8,0,0,0,4,1,164
5,17.1,66,0.3,1370,10.6,0,0,0,3,1,193
12,-14.4,30,2.7,1906,-28.2,1.17,0,0.5,1,1,111
20,27.1,67,2.9,1949,20.4,0.06,0,0,3,1,2415
8,8.8,37,0.9,1939,-5.1,0.89,0,0,2,1,1900
14,35.3,41,1.3,2000,20,2.01,0,0,3,1,645
15,12.2,67,3.3,2000,6.2,0.86,0,0,4,1,948
21,0.2,55,2.5,1942,-7.7,0,0,0,1,1,239
19,2,81,0.7,2000,-0.9,0,0,0,2,1,402
5,20,80,0.3,824,16.4,0,0,0,3,1,383
2,-0.9,84,0.6,230,-3.2,0,0,0,1,1,192
7,16.6,98,0.6,219,16.2,0.01,0.5,0,2,1,210
